City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Asau,RO,2020-12-02 02:20:24,46.43,26.4,28.4,86,26,6.93
70,Anadyr,RU,2020-12-02 02:20:24,64.75,177.48,-14.8,75,75,4.47
71,Abu Samrah,SY,2020-12-02 02:20:24,35.3,37.18,52.86,64,0,5.19
72,Chokurdakh,RU,2020-12-02 02:20:24,70.63,147.92,-2.07,93,92,10.63
73,Huanren,CN,2020-12-02 02:20:24,41.26,125.37,25.3,75,100,1.74
74,Norman Wells,CA,2020-12-02 02:20:24,65.28,-126.83,8.6,100,20,5.82
75,Kloulklubed,PW,2020-12-02 02:20:24,7.04,134.26,78.8,88,75,8.05
76,Pemba,MZ,2020-12-02 02:20:24,-12.97,40.52,78.76,85,100,13.13
77,Voh,NC,2020-12-02 02:20:24,-20.97,164.7,86.9,36,0,5.3
78,Tateyama,JP,2020-12-02 02:20:25,34.98,139.87,53.6,76,75,21.92
79,Tarbolton,GB,2020-12-02 02:20:25,55.51,-4.49,50.0,87,75,10.29
80,Butaritari,KI,2020-12-02 02:20:25,3.07,172.79,82.06,78,55,10.83
81,Mahebourg,MU,2020-12-02 02:20:25,-20.41,57.7,77.0,94,75,4.7
82,Dikson,RU,2020-12-02 02:20:25,73.51,80.55,29.7,99,100,26.87
83,Severo-Kurilsk,RU,2020-12-02 02:20:25,50.68,156.12,30.18,91,66,19.08
84,Taoudenni,ML,2020-12-02 02:20:25,22.68,-3.98,73.04,20,95,12.26
85,Dinklage,DE,2020-12-02 02:20:25,52.65,8.12,39.99,94,88,5.01
86,Ancud,CL,2020-12-02 02:20:25,-41.87,-73.82,53.01,93,90,6.93
87,Kushmurun,KZ,2020-12-02 02:20:25,52.45,64.63,2.61,92,0,9.4
88,Alto Araguaia,BR,2020-12-02 02:20:25,-17.31,-53.22,73.74,67,99,2.82
89,Bentiu,SS,2020-12-02 02:20:25,9.23,29.83,70.56,23,0,5.23
90,Lakhisarai,IN,2020-12-02 02:16:14,25.18,86.09,63.27,46,0,4.83
91,Bethel,US,2020-12-02 02:20:26,41.37,-73.41,39.99,55,90,19.46
92,Hithadhoo,MV,2020-12-02 02:20:26,-0.6,73.08,82.17,74,100,12.59
93,Sioux Lookout,CA,2020-12-02 02:20:26,50.1,-91.92,21.2,85,5,5.82
94,Geraldton,AU,2020-12-02 02:20:26,-28.77,114.6,78.8,22,0,10.29
95,Verkhnevilyuysk,RU,2020-12-02 02:20:26,63.45,120.32,4.48,93,100,8.99
96,Tuktoyaktuk,CA,2020-12-02 02:20:26,69.45,-133.04,1.4,84,20,9.17
97,Tiksi,RU,2020-12-02 02:20:26,71.69,128.87,-2.58,88,100,25.72
98,Cloquet,US,2020-12-02 02:20:26,46.72,-92.46,19.99,85,1,3.67
99,Tyukhtet,RU,2020-12-02 02:20:26,56.54,89.3,5.07,94,100,5.66
100,Komsomolskiy,UZ,2020-12-02 02:20:26,40.43,71.72,33.8,86,100,1.12
101,Seoul,KR,2020-12-02 02:20:00,37.57,126.98,39.2,37,90,3.36
102,Majene,ID,2020-12-02 02:20:26,-3.54,118.97,87.33,62,1,4.92
103,Porbandar,IN,2020-12-02 02:20:26,21.64,69.61,75.94,47,0,9.48
104,Weatherford,US,2020-12-02 02:20:27,32.76,-97.8,48.99,46,0,3.0
105,Parola,IN,2020-12-02 02:20:27,20.88,75.12,67.77,51,0,5.48
106,Harper,LR,2020-12-02 02:20:27,4.38,-7.72,77.27,86,20,3.98
107,Caravelas,BR,2020-12-02 02:20:27,-17.71,-39.25,76.48,85,28,9.91
108,Catalao,BR,2020-12-02 02:20:27,-18.17,-47.95,71.67,72,71,3.91
109,Khani,GE,2020-12-02 02:20:27,41.96,42.96,50.0,65,40,10.29
110,Kovdor,RU,2020-12-02 02:20:27,67.57,30.48,21.11,98,89,1.19
111,Lakshmipur,BD,2020-12-02 02:20:28,22.95,90.83,70.74,59,0,3.67
112,Ixtapa,MX,2020-12-02 02:20:28,20.7,-105.2,77.0,83,90,3.36
113,Freeport,US,2020-12-02 02:20:28,40.66,-73.58,41.0,52,40,26.4
114,Launceston,AU,2020-12-02 02:20:28,-41.45,147.17,64.99,38,0,19.46
115,Bredasdorp,ZA,2020-12-02 02:20:28,-34.53,20.04,53.6,87,100,4.7
116,Kavieng,PG,2020-12-02 02:20:28,-2.57,150.8,85.39,67,98,8.81
117,Provideniya,RU,2020-12-02 02:20:28,64.38,-173.3,15.8,61,0,17.9
118,Alabaster,US,2020-12-02 02:15:50,33.24,-86.82,32.0,68,1,2.39
119,Sao Joao Da Barra,BR,2020-12-02 02:20:28,-21.64,-41.05,75.13,92,100,5.5
120,Yeppoon,AU,2020-12-02 02:20:28,-23.13,150.73,93.2,41,23,4.7
121,Raudeberg,NO,2020-12-02 02:20:29,61.99,5.14,46.0,73,99,31.34
122,Hermanus,ZA,2020-12-02 02:20:29,-34.42,19.23,57.0,63,70,5.01
123,Clermont,FR,2020-12-02 02:20:29,49.5,2.42,42.8,93,90,13.87
124,Yudong,CN,2020-12-02 02:20:29,29.39,106.52,50.0,87,40,6.71
125,New Norfolk,AU,2020-12-02 02:20:29,-42.78,147.06,61.0,49,0,7.0
126,Uthal,PK,2020-12-02 02:20:29,25.81,66.62,64.92,37,3,2.3
127,Lala,PH,2020-12-02 02:20:29,7.97,123.75,87.28,64,100,4.47
128,Altay,CN,2020-12-02 02:20:29,47.87,88.12,11.77,64,0,4.18
129,Bronnitsy,RU,2020-12-02 02:20:29,55.42,38.27,26.01,85,75,4.47
130,Huron,US,2020-12-02 02:20:29,41.15,-82.55,30.99,93,100,14.52
131,Rio Grande,BR,2020-12-02 02:20:29,-32.03,-52.1,68.0,81,85,4.0
132,Skjervoy,NO,2020-12-02 02:20:30,70.03,20.97,33.82,85,100,17.49
133,Hami,CN,2020-12-02 02:20:30,42.8,93.45,21.81,85,0,4.18
134,Ostrovnoy,RU,2020-12-02 02:20:30,68.05,39.51,28.4,95,93,7.25
135,Taitung,TW,2020-12-02 02:20:30,22.76,121.14,73.4,60,75,10.29
136,Darhan,MN,2020-12-02 02:20:30,49.49,105.92,8.22,89,63,4.9
137,Arlit,NE,2020-12-02 02:20:30,18.74,7.39,73.24,21,0,6.46
138,Castro,BR,2020-12-02 02:20:30,-24.79,-50.01,63.77,96,67,9.24
139,Muisne,EC,2020-12-02 02:20:30,0.6,-80.03,74.73,85,87,8.16
140,Avarua,CK,2020-12-02 02:20:30,-21.21,-159.78,82.4,74,7,13.87
141,Dutse,NG,2020-12-02 02:20:30,11.76,9.34,65.35,26,0,6.31
142,Klaksvik,FO,2020-12-02 02:20:30,62.23,-6.59,41.0,86,54,9.17
143,Touros,BR,2020-12-02 02:16:01,-5.2,-35.46,78.8,78,40,8.05
144,Sao Filipe,CV,2020-12-02 02:20:31,14.9,-24.5,75.65,71,100,7.02
145,Lavrentiya,RU,2020-12-02 02:20:31,65.58,-171.0,8.94,90,0,13.82
146,Samdrup Jongkhar,BT,2020-12-02 02:20:31,26.92,91.62,63.5,48,0,2.01
147,Senneterre,CA,2020-12-02 02:19:03,48.38,-77.23,23.0,100,90,34.45
148,Biak,ID,2020-12-02 02:20:31,-0.91,122.88,85.05,66,100,0.31
149,Necochea,AR,2020-12-02 02:20:31,-38.55,-58.74,66.99,62,0,16.17
150,Wajima,JP,2020-12-02 02:17:09,37.4,136.9,44.6,75,75,6.93
151,Victoria,HK,2020-12-02 02:20:31,22.29,114.16,68.0,67,0,1.01
152,Qiongshan,CN,2020-12-02 02:20:31,20.01,110.35,69.8,73,20,13.42
153,Port Alfred,ZA,2020-12-02 02:20:32,-33.59,26.89,60.08,71,75,17.54
154,Ahipara,NZ,2020-12-02 02:20:32,-35.17,173.17,69.66,63,58,5.61
155,Petropavlovsk-Kamchatskiy,RU,2020-12-02 02:20:32,53.05,158.65,28.4,42,100,15.66
156,Nanortalik,GL,2020-12-02 02:20:32,60.14,-45.24,27.79,84,3,31.79
157,Gao,ML,2020-12-02 02:20:32,16.64,1.64,75.81,19,0,8.99
158,Tasiilaq,GL,2020-12-02 02:20:32,65.61,-37.64,19.4,57,100,11.41
159,Kihei,US,2020-12-02 02:20:32,20.79,-156.47,82.4,54,40,13.87
160,Upernavik,GL,2020-12-02 02:20:32,72.79,-56.15,11.34,94,100,11.1
161,Buchanan,LR,2020-12-02 02:20:32,5.88,-10.05,77.7,86,13,4.21
162,That Phanom,TH,2020-12-02 02:20:32,16.94,104.71,79.0,68,20,4.7
163,Hofn,IS,2020-12-02 02:20:32,64.25,-15.21,39.9,70,0,22.84
164,Sol-Iletsk,RU,2020-12-02 02:20:33,51.16,54.99,-0.67,91,0,9.62
165,Mandera,KE,2020-12-02 02:20:04,3.94,41.87,78.21,68,1,12.28
166,Bara,NG,2020-12-02 02:20:33,10.37,10.73,67.84,24,0,5.37
167,Tessalit,ML,2020-12-02 02:20:33,20.2,1.01,70.21,22,25,10.27
168,Dhidhdhoo,MV,2020-12-02 02:20:33,6.88,73.1,82.47,76,96,8.81
169,Logrono,ES,2020-12-02 02:18:12,42.47,-2.45,48.2,66,0,9.17
170,Coquimbo,CL,2020-12-02 02:20:33,-29.95,-71.34,55.4,93,0,8.05
171,Kerouane,GN,2020-12-02 02:20:33,9.27,-9.02,70.18,67,0,3.38
172,Camacha,PT,2020-12-02 02:20:33,33.08,-16.33,62.6,88,40,13.87
173,Nakamura,JP,2020-12-02 02:20:33,32.98,132.93,60.08,61,69,0.67
174,Bambous Virieux,MU,2020-12-02 02:20:33,-20.34,57.76,77.0,94,75,4.7
175,Custoias,PT,2020-12-02 02:20:33,41.11,-7.32,44.19,69,94,1.1
176,Van,TR,2020-12-02 02:20:34,38.49,43.38,30.2,92,75,2.24
177,Qaanaaq,GL,2020-12-02 02:20:34,77.48,-69.36,-0.76,88,100,8.66
178,Arraial Do Cabo,BR,2020-12-02 02:20:34,-22.97,-42.03,77.0,94,0,1.12
179,Miles City,US,2020-12-02 02:20:34,46.41,-105.84,28.4,63,90,10.29
180,Saint-Pierre,RE,2020-12-02 02:20:34,-21.34,55.48,77.0,78,75,3.36
181,Khatanga,RU,2020-12-02 02:20:34,71.97,102.5,28.56,99,100,21.59
182,Bowen,AU,2020-12-02 02:20:34,-20.02,148.23,89.6,52,40,11.41
183,Sarakhs,IR,2020-12-02 02:20:34,36.54,61.16,41.0,73,26,2.24
184,Alexandria,EG,2020-12-02 02:17:00,31.22,29.96,53.6,87,0,2.24
185,Alofi,NU,2020-12-02 02:20:30,-19.06,-169.92,84.2,74,75,11.41
186,Comarapa,BO,2020-12-02 02:20:34,-17.9,-64.48,57.6,81,100,3.74
187,Bukama,CD,2020-12-02 02:20:34,-9.2,25.85,70.29,95,100,0.65
188,Surt,LY,2020-12-02 02:20:35,31.21,16.59,61.84,77,0,8.05
189,Deputatskiy,RU,2020-12-02 02:20:35,69.3,139.9,-4.7,91,100,5.17
190,Panaba,MX,2020-12-02 02:20:35,21.28,-88.27,65.5,84,0,7.09
191,Kiama,AU,2020-12-02 02:20:35,-34.68,150.87,73.0,69,88,11.79
192,Ponta Do Sol,PT,2020-12-02 02:20:35,32.67,-17.1,64.4,82,40,14.99
193,Nyurba,RU,2020-12-02 02:20:35,63.28,118.33,6.62,93,100,10.18
