City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Onalaska,US,43.88,-91.24,35.01,69,90,1.83,overcast clouds
84,Braco Do Norte,BR,-28.27,-49.17,55,95,100,15.01,overcast clouds
85,Marawi,PH,8,124.29,74.75,86,96,1.19,overcast clouds
86,Souillac,MU,-20.52,57.52,75.2,83,20,5.82,few clouds
87,Hambantota,LK,6.12,81.12,71.6,100,5,1.12,clear sky
88,Vila,PT,42.03,-8.16,37.99,90,70,4,broken clouds
89,Camacha,PT,33.08,-16.33,59,67,20,17.22,few clouds
90,Canmore,CA,51.08,-115.35,39.2,63,82,9.17,broken clouds
91,Port Elizabeth,ZA,-33.92,25.57,66.2,88,90,13.87,light rain
92,Natal,BR,-5.79,-35.21,80.6,74,20,12.75,few clouds
93,Emba,KZ,48.83,58.14,-2.36,90,0,8.41,clear sky
94,Kodiak,US,57.79,-152.41,33.8,64,90,17.22,overcast clouds
95,Coahuayana,MX,18.73,-103.68,80.6,54,75,11.41,broken clouds
96,Port Lincoln,AU,-34.73,135.87,60.96,59,97,21.72,overcast clouds
97,Castro,BR,-24.79,-50.01,59.67,97,100,14.54,overcast clouds
98,New Norfolk,AU,-42.78,147.06,57,67,70,7,broken clouds
99,Fortuna,US,40.6,-124.16,57.99,63,98,5.01,light rain
100,Tighina,MD,46.83,29.47,32,83,90,5.82,overcast clouds
101,Lorengau,PG,-2.02,147.27,86.77,65,27,8.55,scattered clouds
102,Brae,GB,60.4,-1.35,44.6,81,98,17.22,overcast clouds
103,Wattegama,LK,6.8,81.48,71.6,100,5,1.12,clear sky
104,Acarau,BR,-2.89,-40.12,80.04,78,51,15.17,broken clouds
105,Provideniya,RU,64.38,-173.3,17.62,84,0,5.28,clear sky
106,Bambous Virieux,MU,-20.34,57.76,75.2,83,20,5.82,few clouds
107,Qaanaaq,GL,77.48,-69.36,-11.97,68,36,7.74,scattered clouds
108,Kamaishi,JP,39.27,141.88,28.4,100,40,3.36,fog
109,Cape Town,ZA,-33.93,18.42,66.2,68,0,14.99,clear sky
110,Aklavik,CA,68.22,-135.01,-22,74,20,4.7,few clouds
111,Kawalu,ID,-7.38,108.21,74.57,82,75,5.14,broken clouds
112,Cidreira,BR,-30.18,-50.21,64.87,75,100,12.21,overcast clouds
113,Poum,NC,-20.23,164.02,77.63,74,0,3.42,clear sky
114,Tuatapere,NZ,-46.13,167.68,59,67,93,7,light rain
115,Deputatskiy,RU,69.3,139.9,-20.42,87,90,2.91,overcast clouds
116,Tuktoyaktuk,CA,69.45,-133.04,-4,76,20,12.75,few clouds
117,Nome,US,64.5,-165.41,15.8,56,90,11.41,overcast clouds
118,Touho,NC,-20.78,165.23,79.09,74,9,15.03,clear sky
119,Katsuura,JP,35.13,140.3,50,75,20,13.87,few clouds
120,Merke,KZ,42.87,73.18,18.28,84,18,3.22,few clouds
121,Narsaq,GL,60.92,-46.05,30.2,92,100,1.12,mist
122,Saint-Philippe,RE,-21.36,55.77,73.4,64,0,6.93,clear sky
123,Bognor Regis,GB,50.78,-0.68,39.99,95,100,4,overcast clouds
124,San Antonio,US,29.42,-98.49,51.01,76,90,4.7,overcast clouds
125,Shingu,JP,33.73,135.98,48.2,76,20,6.93,few clouds
126,Clyde River,CA,70.47,-68.59,1.4,84,90,5.82,overcast clouds
127,Rawlins,US,41.79,-107.24,35.6,43,1,5.66,clear sky
128,Safaga,EG,26.73,33.94,66.2,42,0,8.05,clear sky
129,Botwood,CA,49.15,-55.35,43,93,100,2.19,light rain
130,Auki,SB,-8.77,160.7,79.14,81,98,2.26,light rain
131,Mitu,CO,1.2,-70.17,73.85,97,100,1.88,overcast clouds
132,Mahibadhoo,MV,3.78,72.97,82.83,74,100,12.97,overcast clouds
133,Ojo Caliente,MX,22.57,-102.25,60.8,38,75,23.04,broken clouds
134,Nenjiang,CN,49.18,125.22,6.13,93,97,2.93,overcast clouds
135,Chokurdakh,RU,70.63,147.92,-30.32,81,25,6.71,scattered clouds
136,Tessalit,ML,20.2,1.01,66.25,38,12,5.55,few clouds
137,Bengkulu,ID,-3.8,102.27,77.56,78,95,3.74,overcast clouds
138,Upernavik,GL,72.79,-56.15,9.3,89,100,13.35,overcast clouds
139,Batagay-Alyta,RU,67.8,130.41,-24.68,83,6,2.51,clear sky
140,Fairbanks,US,64.84,-147.72,-2.2,77,90,5.82,overcast clouds
141,Georgetown,MY,5.41,100.34,80.6,83,40,6.49,scattered clouds
142,Yakeshi,CN,49.28,120.73,-3.1,92,100,5.08,overcast clouds
143,Kalaleh,IR,37.38,55.49,48,53,83,2.06,broken clouds
144,Saldanha,ZA,-33.01,17.94,60.8,77,2,4.7,clear sky
145,Phan Thiet,VN,10.93,108.1,73.63,80,55,3.33,broken clouds
146,San Cristobal,VE,7.77,-72.22,80.6,74,40,5.82,scattered clouds
147,Tazovskiy,RU,67.47,78.7,16.92,97,100,12.03,light snow
148,La Ronge,CA,55.1,-105.28,33.8,69,78,1.12,broken clouds
149,Norman Wells,CA,65.28,-126.83,10.4,85,75,5.82,light snow
150,Arcos,BR,-20.28,-45.54,73.13,79,95,10.96,light rain
151,Glasgow,GB,55.87,-4.26,32,100,8,6.93,clear sky
152,Victoria,HK,22.29,114.16,61,71,0,7.18,clear sky
153,Bamiantong,CN,44.93,130.53,11.77,92,25,4.32,scattered clouds
154,Northam,GB,51.03,-4.22,45,87,12,5.99,few clouds
155,Arraial Do Cabo,BR,-22.97,-42.03,75.51,90,84,15.3,broken clouds
156,Tiksi,RU,71.69,128.87,-13.74,88,40,5.55,scattered clouds
157,Manthani,IN,18.65,79.67,59.85,61,3,3.22,clear sky
158,Ukiah,US,39.15,-123.21,60.01,44,1,3.18,clear sky
159,Emerald,AU,-23.53,148.17,86,51,2,8.05,clear sky
160,Kahului,US,20.89,-156.47,87.8,48,40,14.99,scattered clouds
161,Sao Filipe,CV,14.9,-24.5,75.87,77,20,12.91,few clouds
162,Lasa,IT,46.62,10.7,28.4,92,90,3.36,snow
163,Oussouye,SN,12.48,-16.55,77,88,0,6.93,clear sky
164,Fort Nelson,CA,58.81,-122.7,35.6,87,75,5.82,broken clouds
165,Oulu,FI,65.01,25.47,36,100,90,6.93,overcast clouds
166,Avarua,CK,-21.21,-159.78,84.2,74,90,16.11,overcast clouds
167,Mar Del Plata,AR,-38,-57.56,57.99,66,0,5.82,clear sky
168,Darnah,LY,32.77,22.64,61.43,64,31,14.16,scattered clouds
169,Werder,DE,52.38,12.93,41,79,99,6.8,overcast clouds
170,Lavrentiya,RU,65.58,-171,15.64,84,0,4,clear sky
171,Launceston,AU,-41.45,147.17,57.99,50,40,24.16,scattered clouds
172,Verkhoyansk,RU,67.54,133.38,-26.05,84,90,2.01,overcast clouds
