City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Lucea,JM,80.6,few clouds,18.45,-78.17,Sunscape Splash Montego Bay
286,Birao,CF,72.32,scattered clouds,10.28,22.79,
287,Vila Velha,BR,78.8,overcast clouds,-20.33,-40.29,Píer Vitória Hotel - Hotel em Vitória/ES
289,Dwarka,IN,72.41,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
295,Bayonet Point,US,60.01,few clouds,28.33,-82.68,"Innisbrook, A Salamander Golf and Spa Resort"
299,Key Largo,US,75.0,few clouds,25.09,-80.45,Bayside Inn Key Largo
302,Maua,BR,68.0,overcast clouds,-23.67,-46.46,Pullman São Paulo Ibirapuera
304,Jijiga,ET,61.21,clear sky,9.35,42.8,RAMAAS HOTEL
306,Bentiu,SS,72.5,clear sky,9.23,29.83,Mandela hôtel
307,Monrovia,LR,79.32,clear sky,6.3,-10.8,Sunset Inn
312,Bandarbeyla,SO,74.55,clear sky,9.49,50.81,JABIR HOTEL
314,Manadhoo,MV,82.18,overcast clouds,5.77,73.38,Kanuhura Maldives
315,Santa Maria,BR,66.2,scattered clouds,-29.68,-53.81,Hotel Morotin
316,Isangel,VU,82.38,clear sky,-19.55,169.27,Volcanic Village Vista
317,Hohoe,GH,74.93,overcast clouds,7.15,0.47,Mountain Paradise Lodge
319,Gashua,NG,71.4,clear sky,12.87,11.05,Forte Oil - Old Lorry Park
321,Hualmay,PE,67.26,overcast clouds,-11.1,-77.61,Albufera Medio Mundo Bungalows & Camping
322,Montepuez,MZ,69.55,clear sky,-13.13,39.0,RESIDÊNCIAL LANCHONETE
328,Beirut,LB,62.6,broken clouds,33.89,35.49,Crowne Plaza Beirut
333,Padang,ID,78.71,overcast clouds,-0.95,100.35,Mercure Padang
335,Martinez,US,62.01,clear sky,38.02,-122.13,The Clift Royal Sonesta Hotel
336,Arica,CL,66.2,clear sky,-18.48,-70.3,Hostal Jardin Del Sol
338,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Recife Plaza Hotel
340,Inongo,CD,71.22,light rain,-1.95,18.27,Hotel Du Lac
346,Quang Ngai,VN,67.37,light rain,15.12,108.8,Le Domaine De Tam Hai Resort
347,Santa Luzia,BR,77.0,light rain,-19.77,-43.85,Hotel Financial
350,Byron Bay,AU,90.0,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
351,Pisco,PE,68.0,clear sky,-13.7,-76.22,DoubleTree Resort by Hilton Paracas - Peru
352,Buenos Aires,AR,64.0,clear sky,-34.61,-58.38,Gran Hotel Argentino
353,Flinders,AU,75.99,clear sky,-34.58,150.86,The Sebel Kiama Harbourside
354,La Cruz,MX,68.58,clear sky,23.92,-106.9,Azul Celeste
355,Faanui,PF,79.97,overcast clouds,-16.48,-151.75,InterContinental Bora Bora Resort Thalasso Spa
362,Bairiki,KI,86.0,few clouds,1.33,172.98,Fema Lodge
363,Cockburn Town,TC,77.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
364,Nouadhibou,MR,66.2,overcast clouds,20.93,-17.03,El Medina
365,Kieta,PG,85.6,overcast clouds,-6.22,155.63,Arawa Travellers Inn
367,Pilar,BR,75.2,few clouds,-9.6,-35.96,Hotel Ponta Verde Maceió
368,Raga,SS,70.41,few clouds,8.46,25.68,
369,Sapa,PH,83.21,scattered clouds,5.15,120.32,Condo ni Kyle David
370,Pontes E Lacerda,BR,73.13,light rain,-15.23,-59.34,Hotel Bressan
371,Ciudad Bolivar,VE,81.19,broken clouds,8.12,-63.55,Hotel Edi
374,Velingara,SN,77.56,overcast clouds,13.15,-14.12,Hotel Najla
375,Ankazoabo,MG,73.08,few clouds,-22.28,44.52,ENCEIN BUREAU CISCO
378,Yulara,AU,80.6,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
379,Dakoro,NE,76.93,broken clouds,14.51,6.76,Shagon mai liverpool
380,Itaituba,BR,75.49,overcast clouds,-4.28,-55.98,Hotel Campos
381,Pochutla,MX,82.4,few clouds,15.74,-96.47,La Isla Huatulco
382,Galesong,ID,77.0,very heavy rain,-5.32,119.37,Aryaduta Makassar
385,Paraiso,CR,73.4,few clouds,9.84,-83.87,"Gran Hotel Costa Rica, Curio Collection by Hilton"
388,Mattru,SL,74.52,clear sky,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
393,Rawson,AR,67.28,scattered clouds,-43.3,-65.1,Hotel Touring Club
396,Naze,JP,66.2,broken clouds,28.37,129.48,Amami Resort Basyayamamura
398,Seminole,US,63.0,clear sky,28.71,-81.21,Hampton Inn & Suites Orlando/East UCF Area
401,Batticaloa,LK,77.94,light rain,7.71,81.69,"Amethyst Resort, Passikudah"
403,Cabedelo,BR,78.8,clear sky,-6.98,-34.83,Condomínio Imperial Flat
405,Kerema,PG,80.62,overcast clouds,-7.96,145.78,Frena Lodge
408,Cayenne,GF,78.8,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
409,Nhulunbuy,AU,86.0,overcast clouds,-12.23,136.77,Bremer Island Banubanu Beach Retreat
411,Cururupu,BR,78.66,overcast clouds,-1.83,-44.87,Pousada Través'cia
414,Gizo,SB,84.65,broken clouds,-8.1,156.84,Imagination Island
415,Riohacha,CO,78.01,scattered clouds,11.54,-72.91,Hotel Taroa
416,Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
417,Gambela,ET,77.81,scattered clouds,8.25,34.58,Solomon Debebe Hotel
418,Mana,GF,78.67,overcast clouds,5.66,-53.78,Hudace
419,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
420,Lunsar,SL,75.29,clear sky,8.68,-12.53,MJ Motel
423,Baoro,CF,71.53,scattered clouds,5.67,15.97,মজমাখানা
425,Basoko,CD,70.47,few clouds,1.24,23.62,Flat Hotel La Benediction
426,Marsh Harbour,BS,75.74,scattered clouds,26.54,-77.06,Bahama Beach Club
429,Cape Coast,GH,78.78,overcast clouds,5.11,-1.25,Rain Forest Lodge
430,Saint-Pierre,RE,73.4,clear sky,-21.34,55.48,Hôtel Le Cilaos
433,Coihaique,CL,75.2,few clouds,-45.58,-72.07,Diego De Almagro Coyhaique
438,Pocone,BR,75.78,light rain,-16.26,-56.62,Araras Pantanal Eco Lodge
441,Yangambi,CD,69.62,light rain,0.81,24.43,Club Yangambi
444,Esperance,AU,60.8,overcast clouds,-33.87,121.9,Hospitality Esperance
